FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE_AGGR,Aggregato,VALUATION,Valutazione,ADJUSTMENT,Correzione,EDITION,Edizione,TIME_PERIOD,Osservazione,NOTE_DATA_TYPE_AGGR,Aggregato (NOTE_DATA_TYPE_AGGR),NOTE_VALUATION,Valutazione (NOTE_VALUATION),NOTE_EDITION,Edizione (NOTE_EDITION),UNIT_MEAS,Unità di misura,UNIT_MULT,Unità di moltiplicazione
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,L_2020,Valori concatenati con anno di riferimento 2020,N,Dati grezzi,2025M12,Dic-2025,2016,1781169,,,,,,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,L_2020,Valori concatenati con anno di riferimento 2020,N,Dati grezzi,2025M12,Dic-2025,2017,1809733,,,,,,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,L_2020,Valori concatenati con anno di riferimento 2020,N,Dati grezzi,2025M12,Dic-2025,2018,1824693,,,,,,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,L_2020,Valori concatenati con anno di riferimento 2020,N,Dati grezzi,2025M12,Dic-2025,2019,1832524,,,,,,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,L_2020,Valori concatenati con anno di riferimento 2020,N,Dati grezzi,2025M12,Dic-2025,2020,1670012,,,,,,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,L_2020,Valori concatenati con anno di riferimento 2020,N,Dati grezzi,2025M12,Dic-2025,2021,1819162,,,,,,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,L_2020,Valori concatenati con anno di riferimento 2020,N,Dati grezzi,2025M12,Dic-2025,2022,1906867,,,,,,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,L_2020,Valori concatenati con anno di riferimento 2020,N,Dati grezzi,2025M12,Dic-2025,2023,1925472,,,,,,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,L_2020,Valori concatenati con anno di riferimento 2020,N,Dati grezzi,2025M12,Dic-2025,2024,1938809,,,,,,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,V,Prezzi correnti,N,Dati grezzi,2025M1,Gen-2025,2021,1842507,,,VAL__V_N3,"'Prezzi correnti:l""'aggregato di interesse è espresso in valore e riflette il livello dei prezzi del periodo corrente.'",T_BIS__2025M1_N2,"'Edizione Gennaio 2025: Revisione generale 2024 - La serie dei dati è coerente con i ""'Conti ed aggregati economici nazionali annuali""'",,EURO,,6
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,V,Prezzi correnti,N,Dati grezzi,2025M1,Gen-2025,2022,1997055,,,VAL__V_N3,"'Prezzi correnti:l""'aggregato di interesse è espresso in valore e riflette il livello dei prezzi del periodo corrente.'",T_BIS__2025M1_N2,"'Edizione Gennaio 2025: Revisione generale 2024 - La serie dei dati è coerente con i ""'Conti ed aggregati economici nazionali annuali""'",,EURO,,6
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,V,Prezzi correnti,N,Dati grezzi,2025M1,Gen-2025,2023,2128001,,,VAL__V_N3,"'Prezzi correnti:l""'aggregato di interesse è espresso in valore e riflette il livello dei prezzi del periodo corrente.'",T_BIS__2025M1_N2,"'Edizione Gennaio 2025: Revisione generale 2024 - La serie dei dati è coerente con i ""'Conti ed aggregati economici nazionali annuali""'",,EURO,,6
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,V,Prezzi correnti,N,Dati grezzi,2025M6,Giu-2025,2015,1663278,,,VAL__V_N3,"'Prezzi correnti:l""'aggregato di interesse è espresso in valore e riflette il livello dei prezzi del periodo corrente.'",,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,V,Prezzi correnti,N,Dati grezzi,2025M6,Giu-2025,2016,1704857,,,VAL__V_N3,"'Prezzi correnti:l""'aggregato di interesse è espresso in valore e riflette il livello dei prezzi del periodo corrente.'",,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,V,Prezzi correnti,N,Dati grezzi,2025M6,Giu-2025,2017,1744493,,,VAL__V_N3,"'Prezzi correnti:l""'aggregato di interesse è espresso in valore e riflette il livello dei prezzi del periodo corrente.'",,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,V,Prezzi correnti,N,Dati grezzi,2025M6,Giu-2025,2018,1777744,,,VAL__V_N3,"'Prezzi correnti:l""'aggregato di interesse è espresso in valore e riflette il livello dei prezzi del periodo corrente.'",,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,V,Prezzi correnti,N,Dati grezzi,2025M6,Giu-2025,2019,1804067,,,VAL__V_N3,"'Prezzi correnti:l""'aggregato di interesse è espresso in valore e riflette il livello dei prezzi del periodo corrente.'",,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,V,Prezzi correnti,N,Dati grezzi,2025M6,Giu-2025,2020,1670012,,,VAL__V_N3,"'Prezzi correnti:l""'aggregato di interesse è espresso in valore e riflette il livello dei prezzi del periodo corrente.'",,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,V,Prezzi correnti,N,Dati grezzi,2025M6,Giu-2025,2021,1842507,,,VAL__V_N3,"'Prezzi correnti:l""'aggregato di interesse è espresso in valore e riflette il livello dei prezzi del periodo corrente.'",,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,V,Prezzi correnti,N,Dati grezzi,2025M6,Giu-2025,2022,1998073,,,VAL__V_N3,"'Prezzi correnti:l""'aggregato di interesse è espresso in valore e riflette il livello dei prezzi del periodo corrente.'",,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,V,Prezzi correnti,N,Dati grezzi,2025M6,Giu-2025,2023,2131390,,,VAL__V_N3,"'Prezzi correnti:l""'aggregato di interesse è espresso in valore e riflette il livello dei prezzi del periodo corrente.'",,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,V,Prezzi correnti,N,Dati grezzi,2025M12,Dic-2025,2015,1663278,,,VAL__V_N3,"'Prezzi correnti:l""'aggregato di interesse è espresso in valore e riflette il livello dei prezzi del periodo corrente.'",,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,V,Prezzi correnti,N,Dati grezzi,2025M12,Dic-2025,2016,1704857,,,VAL__V_N3,"'Prezzi correnti:l""'aggregato di interesse è espresso in valore e riflette il livello dei prezzi del periodo corrente.'",,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,V,Prezzi correnti,N,Dati grezzi,2025M12,Dic-2025,2017,1744493,,,VAL__V_N3,"'Prezzi correnti:l""'aggregato di interesse è espresso in valore e riflette il livello dei prezzi del periodo corrente.'",,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,V,Prezzi correnti,N,Dati grezzi,2025M12,Dic-2025,2018,1777744,,,VAL__V_N3,"'Prezzi correnti:l""'aggregato di interesse è espresso in valore e riflette il livello dei prezzi del periodo corrente.'",,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,V,Prezzi correnti,N,Dati grezzi,2025M12,Dic-2025,2019,1804067,,,VAL__V_N3,"'Prezzi correnti:l""'aggregato di interesse è espresso in valore e riflette il livello dei prezzi del periodo corrente.'",,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,V,Prezzi correnti,N,Dati grezzi,2025M12,Dic-2025,2020,1670012,,,VAL__V_N3,"'Prezzi correnti:l""'aggregato di interesse è espresso in valore e riflette il livello dei prezzi del periodo corrente.'",,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,V,Prezzi correnti,N,Dati grezzi,2025M12,Dic-2025,2021,1842507,,,VAL__V_N3,"'Prezzi correnti:l""'aggregato di interesse è espresso in valore e riflette il livello dei prezzi del periodo corrente.'",,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,V,Prezzi correnti,N,Dati grezzi,2025M12,Dic-2025,2022,1998073,,,VAL__V_N3,"'Prezzi correnti:l""'aggregato di interesse è espresso in valore e riflette il livello dei prezzi del periodo corrente.'",,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,V,Prezzi correnti,N,Dati grezzi,2025M12,Dic-2025,2023,2142602,,,VAL__V_N3,"'Prezzi correnti:l""'aggregato di interesse è espresso in valore e riflette il livello dei prezzi del periodo corrente.'",,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,V,Prezzi correnti,N,Dati grezzi,2025M12,Dic-2025,2024,2199619,,,VAL__V_N3,"'Prezzi correnti:l""'aggregato di interesse è espresso in valore e riflette il livello dei prezzi del periodo corrente.'",,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,Y,"'Prezzi dell""'anno precedente'",N,Dati grezzi,2025M1,Gen-2025,2022,1928401,,,VAL__Y_N1,"'Prezzi dell""'anno precedente:indicano il valore di un prodotto al tempo corrente espresso ai prezzi dell""'anno precedente.'",T_BIS__2025M1_N2,"'Edizione Gennaio 2025: Revisione generale 2024 - La serie dei dati è coerente con i ""'Conti ed aggregati economici nazionali annuali""'",,EURO,,6
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,Y,"'Prezzi dell""'anno precedente'",N,Dati grezzi,2025M1,Gen-2025,2023,2010987,,,VAL__Y_N1,"'Prezzi dell""'anno precedente:indicano il valore di un prodotto al tempo corrente espresso ai prezzi dell""'anno precedente.'",T_BIS__2025M1_N2,"'Edizione Gennaio 2025: Revisione generale 2024 - La serie dei dati è coerente con i ""'Conti ed aggregati economici nazionali annuali""'",,EURO,,6
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,Y,"'Prezzi dell""'anno precedente'",N,Dati grezzi,2025M6,Giu-2025,2015,1650359,,,VAL__Y_N1,"'Prezzi dell""'anno precedente:indicano il valore di un prodotto al tempo corrente espresso ai prezzi dell""'anno precedente.'",,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,Y,"'Prezzi dell""'anno precedente'",N,Dati grezzi,2025M6,Giu-2025,2016,1683839,,,VAL__Y_N1,"'Prezzi dell""'anno precedente:indicano il valore di un prodotto al tempo corrente espresso ai prezzi dell""'anno precedente.'",,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,Y,"'Prezzi dell""'anno precedente'",N,Dati grezzi,2025M6,Giu-2025,2017,1732197,,,VAL__Y_N1,"'Prezzi dell""'anno precedente:indicano il valore di un prodotto al tempo corrente espresso ai prezzi dell""'anno precedente.'",,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,Y,"'Prezzi dell""'anno precedente'",N,Dati grezzi,2025M6,Giu-2025,2018,1758914,,,VAL__Y_N1,"'Prezzi dell""'anno precedente:indicano il valore di un prodotto al tempo corrente espresso ai prezzi dell""'anno precedente.'",,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,Y,"'Prezzi dell""'anno precedente'",N,Dati grezzi,2025M6,Giu-2025,2019,1785374,,,VAL__Y_N1,"'Prezzi dell""'anno precedente:indicano il valore di un prodotto al tempo corrente espresso ai prezzi dell""'anno precedente.'",,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,Y,"'Prezzi dell""'anno precedente'",N,Dati grezzi,2025M6,Giu-2025,2020,1644078,,,VAL__Y_N1,"'Prezzi dell""'anno precedente:indicano il valore di un prodotto al tempo corrente espresso ai prezzi dell""'anno precedente.'",,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,Y,"'Prezzi dell""'anno precedente'",N,Dati grezzi,2025M6,Giu-2025,2021,1819162,,,VAL__Y_N1,"'Prezzi dell""'anno precedente:indicano il valore di un prodotto al tempo corrente espresso ai prezzi dell""'anno precedente.'",,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,Y,"'Prezzi dell""'anno precedente'",N,Dati grezzi,2025M6,Giu-2025,2022,1931338,,,VAL__Y_N1,"'Prezzi dell""'anno precedente:indicano il valore di un prodotto al tempo corrente espresso ai prezzi dell""'anno precedente.'",,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,Y,"'Prezzi dell""'anno precedente'",N,Dati grezzi,2025M6,Giu-2025,2023,2012366,,,VAL__Y_N1,"'Prezzi dell""'anno precedente:indicano il valore di un prodotto al tempo corrente espresso ai prezzi dell""'anno precedente.'",,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,Y,"'Prezzi dell""'anno precedente'",N,Dati grezzi,2025M12,Dic-2025,2015,1650359,,,VAL__Y_N1,"'Prezzi dell""'anno precedente:indicano il valore di un prodotto al tempo corrente espresso ai prezzi dell""'anno precedente.'",,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,Y,"'Prezzi dell""'anno precedente'",N,Dati grezzi,2025M12,Dic-2025,2016,1683839,,,VAL__Y_N1,"'Prezzi dell""'anno precedente:indicano il valore di un prodotto al tempo corrente espresso ai prezzi dell""'anno precedente.'",,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,Y,"'Prezzi dell""'anno precedente'",N,Dati grezzi,2025M12,Dic-2025,2017,1732197,,,VAL__Y_N1,"'Prezzi dell""'anno precedente:indicano il valore di un prodotto al tempo corrente espresso ai prezzi dell""'anno precedente.'",,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,Y,"'Prezzi dell""'anno precedente'",N,Dati grezzi,2025M12,Dic-2025,2018,1758914,,,VAL__Y_N1,"'Prezzi dell""'anno precedente:indicano il valore di un prodotto al tempo corrente espresso ai prezzi dell""'anno precedente.'",,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,Y,"'Prezzi dell""'anno precedente'",N,Dati grezzi,2025M12,Dic-2025,2019,1785374,,,VAL__Y_N1,"'Prezzi dell""'anno precedente:indicano il valore di un prodotto al tempo corrente espresso ai prezzi dell""'anno precedente.'",,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,Y,"'Prezzi dell""'anno precedente'",N,Dati grezzi,2025M12,Dic-2025,2020,1644078,,,VAL__Y_N1,"'Prezzi dell""'anno precedente:indicano il valore di un prodotto al tempo corrente espresso ai prezzi dell""'anno precedente.'",,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,Y,"'Prezzi dell""'anno precedente'",N,Dati grezzi,2025M12,Dic-2025,2021,1819162,,,VAL__Y_N1,"'Prezzi dell""'anno precedente:indicano il valore di un prodotto al tempo corrente espresso ai prezzi dell""'anno precedente.'",,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,Y,"'Prezzi dell""'anno precedente'",N,Dati grezzi,2025M12,Dic-2025,2022,1931338,,,VAL__Y_N1,"'Prezzi dell""'anno precedente:indicano il valore di un prodotto al tempo corrente espresso ai prezzi dell""'anno precedente.'",,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,Y,"'Prezzi dell""'anno precedente'",N,Dati grezzi,2025M12,Dic-2025,2023,2017568,,,VAL__Y_N1,"'Prezzi dell""'anno precedente:indicano il valore di un prodotto al tempo corrente espresso ai prezzi dell""'anno precedente.'",,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,Y,"'Prezzi dell""'anno precedente'",N,Dati grezzi,2025M12,Dic-2025,2024,2157443,,,VAL__Y_N1,"'Prezzi dell""'anno precedente:indicano il valore di un prodotto al tempo corrente espresso ai prezzi dell""'anno precedente.'",,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1G_B_W2_S1,Valore aggiunto,L_2020,Valori concatenati con anno di riferimento 2020,N,Dati grezzi,2025M6,Giu-2025,2015,1554160,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,Valore aggiunto:Si intende valore aggiunto a prezzi base,,,,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1G_B_W2_S1,Valore aggiunto,L_2020,Valori concatenati con anno di riferimento 2020,N,Dati grezzi,2025M6,Giu-2025,2016,1575406,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,Valore aggiunto:Si intende valore aggiunto a prezzi base,,,,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1G_B_W2_S1,Valore aggiunto,L_2020,Valori concatenati con anno di riferimento 2020,N,Dati grezzi,2025M6,Giu-2025,2017,1604435,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,Valore aggiunto:Si intende valore aggiunto a prezzi base,,,,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1G_B_W2_S1,Valore aggiunto,L_2020,Valori concatenati con anno di riferimento 2020,N,Dati grezzi,2025M6,Giu-2025,2018,1620343,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,Valore aggiunto:Si intende valore aggiunto a prezzi base,,,,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1G_B_W2_S1,Valore aggiunto,L_2020,Valori concatenati con anno di riferimento 2020,N,Dati grezzi,2025M6,Giu-2025,2019,1631728,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,Valore aggiunto:Si intende valore aggiunto a prezzi base,,,,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1G_B_W2_S1,Valore aggiunto,L_2020,Valori concatenati con anno di riferimento 2020,N,Dati grezzi,2025M6,Giu-2025,2020,1496322,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,Valore aggiunto:Si intende valore aggiunto a prezzi base,,,,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1G_B_W2_S1,Valore aggiunto,L_2020,Valori concatenati con anno di riferimento 2020,N,Dati grezzi,2025M6,Giu-2025,2021,1630470,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,Valore aggiunto:Si intende valore aggiunto a prezzi base,,,,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1G_B_W2_S1,Valore aggiunto,L_2020,Valori concatenati con anno di riferimento 2020,N,Dati grezzi,2025M6,Giu-2025,2022,1711010,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,Valore aggiunto:Si intende valore aggiunto a prezzi base,,,,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1G_B_W2_S1,Valore aggiunto,L_2020,Valori concatenati con anno di riferimento 2020,N,Dati grezzi,2025M6,Giu-2025,2023,1723486,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,Valore aggiunto:Si intende valore aggiunto a prezzi base,,,,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1G_B_W2_S1,Valore aggiunto,L_2020,Valori concatenati con anno di riferimento 2020,N,Dati grezzi,2025M12,Dic-2025,2015,1554160,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,Valore aggiunto:Si intende valore aggiunto a prezzi base,,,,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1G_B_W2_S1,Valore aggiunto,L_2020,Valori concatenati con anno di riferimento 2020,N,Dati grezzi,2025M12,Dic-2025,2016,1575406,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,Valore aggiunto:Si intende valore aggiunto a prezzi base,,,,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1G_B_W2_S1,Valore aggiunto,L_2020,Valori concatenati con anno di riferimento 2020,N,Dati grezzi,2025M12,Dic-2025,2017,1604435,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,Valore aggiunto:Si intende valore aggiunto a prezzi base,,,,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1G_B_W2_S1,Valore aggiunto,L_2020,Valori concatenati con anno di riferimento 2020,N,Dati grezzi,2025M12,Dic-2025,2018,1620343,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,Valore aggiunto:Si intende valore aggiunto a prezzi base,,,,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1G_B_W2_S1,Valore aggiunto,L_2020,Valori concatenati con anno di riferimento 2020,N,Dati grezzi,2025M12,Dic-2025,2019,1631728,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,Valore aggiunto:Si intende valore aggiunto a prezzi base,,,,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1G_B_W2_S1,Valore aggiunto,L_2020,Valori concatenati con anno di riferimento 2020,N,Dati grezzi,2025M12,Dic-2025,2020,1496322,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,Valore aggiunto:Si intende valore aggiunto a prezzi base,,,,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1G_B_W2_S1,Valore aggiunto,L_2020,Valori concatenati con anno di riferimento 2020,N,Dati grezzi,2025M12,Dic-2025,2021,1630470,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,Valore aggiunto:Si intende valore aggiunto a prezzi base,,,,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1G_B_W2_S1,Valore aggiunto,L_2020,Valori concatenati con anno di riferimento 2020,N,Dati grezzi,2025M12,Dic-2025,2022,1711010,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,Valore aggiunto:Si intende valore aggiunto a prezzi base,,,,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1G_B_W2_S1,Valore aggiunto,L_2020,Valori concatenati con anno di riferimento 2020,N,Dati grezzi,2025M12,Dic-2025,2023,1727656,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,Valore aggiunto:Si intende valore aggiunto a prezzi base,,,,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1G_B_W2_S1,Valore aggiunto,L_2020,Valori concatenati con anno di riferimento 2020,N,Dati grezzi,2025M12,Dic-2025,2024,1739217,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,Valore aggiunto:Si intende valore aggiunto a prezzi base,,,,,EURO,Euro,6,Milioni
